기술검토번호,요청일,영업담당자,제품그룹,Location,고객사,Enduser,담당자
ME25-513,2025-08-27 9:35,김소영,Steam Traps,국내,나우이엔지,광양그린에너지,남준모
ME25-511,2025-08-25 10:37,박기연,Ancilaries,국내,(주)야정,엘에스엠앤엠 주식회사,남준모
ME25-510,2025-08-25 9:13,오영근,Ancilaries,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,남준모
ME25-509,2025-08-22 13:40,조유선,Other STAP,수출,SPIRAX SARCO THAILAND,SPIRAX SARCO THAILAND,김영민
ME25-508,2025-08-22 13:18,MAP_김기흥,Other STAP,국내,케이티앤지세종,케이티앤지세종,김영민
ME25-507,2025-08-21 8:42,권순범,PNEL Controls,국내,현대자동차㈜울산공장,현대자동차㈜울산공장,남준모
ME25-505,2025-08-20 16:18,조현지,Ancilaries,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,박병호
ME25-504,2025-08-20 13:25,맵스코리아,Ancilaries,국내,주식회사 케이티앤지,주식회사 케이티앤지,남준모
ME25-503,2025-08-20 7:51,신의철,ABCO,국내,현대자동차(주)남양연구소,현대자동차(주)남양연구소,박병호
ME25-502,2025-08-19 14:08,지한웅,Sundry Products,국내,주식회사 태율,현대제철 당진공장,노예경
ME25-500,2025-08-19 13:22,김동욱,Heat Exchanger Packages,국내,에이치엘디앤아이한라(주),아난티 클럽 제주,김영민
ME25-499,2025-08-19 10:13,김소영,PNEL Controls,국내,정엔지니어링(주),(주)엘엑스엠엠에이,노예경
ME25-498,2025-08-19 6:42,장철민,SI Humidifiers,국내,(주)문명에이스,녹십자오창공장,노예경
ME25-497,2025-08-18 15:49,박혜민,PNEL Controls,국내,주식회사 진성이엔지,삼성전자(주)평택,박병호
ME25-496,2025-08-18 12:16,김민곤,Ancilaries,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),남준모
ME25-495,2025-08-18 12:05,지한웅,Pressure Controls,국내,주식회사 정광,주식회사 정광,노예경
ME25-494,2025-08-18 9:28,오영근,Ancilaries,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,남준모
ME25-493,2025-08-14 17:46,EMS_김욱회,ABCO,국내,엘지에너지솔루션 오창2공장,엘지에너지솔루션 오창2공장,남준모
ME25-492,2025-08-14 16:44,조유선,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-491,2025-08-14 14:49,조현지,Ancilaries,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,노예경
ME25-490,2025-08-13 19:12,정연택,PNEL Controls,국내,주식회사 진성이엔지,삼성전자(주)평택,박병호
ME25-489,2025-08-13 15:07,신의철,Condensate Pumps,국내,현대자동차(주)남양연구소,현대자동차(주)남양연구소,박병호
ME25-488,2025-08-12 13:59,조유선,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-487,2025-08-12 13:52,이동현,SI Humidifiers,국내,청남공조(주),(주)셀트리온,노예경
ME25-486,2025-08-12 11:37,황태호,Heat Exchanger Packages,국내,콜마비앤에이치 세종3공장,콜마비앤에이치 세종3공장,박병호
ME25-484,2025-08-11 14:33,장우영,Metering,국내,에스티파트너 주식회사,에스케이바이오사이언스(주)송도,박병호
ME25-483,2025-08-11 13:47,남철규,SI Humidifiers,국내,주식회사 한신비텍,삼성전자(주)평택,노예경
ME25-481,2025-08-08 17:15,오영근,Other STAP,국내,한국바스프(주),한국바스프(주),김영민
ME25-479,2025-08-08 14:34,김금규,PNEL Controls,국내,(주)하림,(주)하림,박병호
ME25-478,2025-08-08 14:34,김금규,PNEL Controls,국내,(주)하림,(주)하림,박병호
ME25-477,2025-08-07 14:53,장우영,SG Humidifiers,국내,(주)성도이엔지,SK바이오텍 세종사업장,권일태
ME25-475,2025-08-05 9:38,HSE_이재현,Other STAP,국내,대열보일러엔지니어링(주),하나제약(주),김영민
ME25-474,2025-08-04 13:54,황태호,Condensate Pumps,국내,(No_Tax)(주)농심녹산공장,농심엔지니어링(주),박병호
ME25-473,2025-08-01 14:39,오영근,Other STAP,국내,주식회사 제이아이테크,한화에너지(주) 여수공장,김영민
ME25-472,2025-08-01 14:24,조유선,Other STAP,수출,SPIRAX SARCO THAILAND,SPIRAX SARCO THAILAND,김영민
ME25-471,2025-08-01 10:14,이정화,Sundry Products,국내,세일이엔에스(주),세일이엔에스(주),노예경
ME25-470,2025-07-31 22:47,EMS_이윤희,SI Humidifiers,국내,SK하이닉스(청주),SK하이닉스(청주),노예경
ME25-469,2025-07-31 15:11,오영근,Other STAP,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,김영민
ME25-468,2025-07-30 15:07,김금규,Other STAP,국내,(주)하림,(주)하림,김영민
ME25-467,2025-07-30 10:45,이준재,Condensate Pumps,국내,장엔지니어링,BAT코리아제조(주),박병호
ME25-466,2025-07-30 9:56,조현지,Ancilaries,국내,한화오션 (주),한화오션 (주),노예경
ME25-465,2025-07-30 7:44,EMS_이윤희,Other STAP,국내,SK하이닉스(청주),SK하이닉스(청주),김영민
ME25-464,2025-07-29 15:04,김규현,SI Humidifiers,국내,주식회사 신성이엔지,SK하이닉스(청주),노예경
ME25-463,2025-07-29 10:32,임현섭,Clean & Pure Steam Generators,국내,(주)제이오,(주)제이오,권일태
ME25-462,2025-07-29 9:31,DBE_임병철,Other STAP,국내,삼척블루파워,삼척블루파워,김영민
ME25-461,2025-07-28 18:02,김민곤,Ancilaries,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),남준모
ME25-460,2025-07-28 9:26,김민곤,Steam Traps,국내,(주)디케이인텍스,(No_Tax)(주)엘지화학 대산공장,노예경
ME25-459,2025-07-25 10:53,오영근,Ancilaries,국내,주식회사 범용텍,롯데케미칼(주)첨단소재여수공장,남준모
ME25-458,2025-07-25 10:15,조현지,Ancilaries,국내,장엔지니어링,한화오션 (주),노예경
ME25-457,2025-07-25 10:15,조현지,Ancilaries,국내,장엔지니어링,한화오션 (주),노예경
ME25-456,2025-07-25 0:17,이순국,Other STAP,국내,(주)이수페타시스,(주)이수페타시스,김영민
ME25-455,2025-07-24 10:02,MAP_김기흥,SG Humidifiers,국내,SK바이오텍 세종사업장,SK바이오텍 세종사업장,박병호
ME25-454,2025-07-23 7:16,지한웅,Steam Traps,국내,(주)엘지화학 당진공장,(주)엘지화학 당진공장,남준모
ME25-453,2025-07-22 14:23,장철민,SI Humidifiers,국내,주식회사 세기,한국생활환경시험연구원,노예경
ME25-451,2025-07-22 9:52,김소영,PNEL Controls,국내,나우이엔지,(No_Tax)포스코(주)광양제철소,노예경
ME25-450,2025-07-22 9:36,박남용,Ancilaries,국내,(주)야정,무림피앤피주식회사,남준모
ME25-449,2025-07-22 9:26,조현지,Steam Traps,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,노예경
ME25-448,2025-07-21 17:19,김승우,Other STAP,국내,SK하이닉스(청주),SK하이닉스(청주),김영민
ME25-447,2025-07-21 14:13,방병석,PNEL Controls,국내,코오롱인더스트리(주)대산공장,코오롱인더스트리(주)대산공장,남준모
ME25-446,2025-07-21 10:56,지한웅,PNEL Controls,국내,케이지스틸 주식회사,케이지스틸 당진공장,남준모
ME25-445,2025-07-18 13:33,이순국,PNEL Controls,국내,주식회사 아진 피앤피,주식회사 아진 피앤피,남준모
ME25-444,2025-07-16 9:33,HGN_정세훈,Other STAP,국내,농심엔지니어링(주),(No_Tax)(주)농심녹산공장,김영민
ME25-443,2025-07-16 8:51,장철민,SI Humidifiers,국내,케이엔솔 주식회사,한양대학교,노예경
ME25-442,2025-07-16 7:25,HGN_김해성,PNEL Controls,국내,롯데웰푸드(주)천안,롯데웰푸드(주)천안,노예경
ME25-441,2025-07-16 7:20,HGN_김해성,PNEL Controls,국내,롯데웰푸드(주)천안,롯데웰푸드(주)천안,노예경
ME25-440,2025-07-15 16:58,강진아,Pressure Controls,국내,도레이첨단소재(주)군산공장,도레이첨단소재(주)군산공장,노예경
ME25-438,2025-07-15 16:25,조영천,Condensate Pumps,국내,한국설비연구,한국설비연구,박병호
ME25-437,2025-07-14 10:15,박혜민,PNEL Controls,국내,한성크린텍 주식회사,에스케이실트론 주식회사,김영민
ME25-436,2025-07-11 16:50,조현지,Other STAP,수출,지수이엔티(주),지수이엔티(주),김영민
ME25-435,2025-07-11 13:49,방병석,Steam Traps,국내,이에스아이 주식회사,이에스아이 주식회사,노예경
ME25-434,2025-07-11 9:54,김동욱,Heat Exchanger Packages,국내,현대백화점(대치동사옥),현대백화점(대치동사옥),권일태
ME25-433,2025-07-10 13:34,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,김영민
ME25-432,2025-07-10 13:30,방병석,Ancilaries,국내,그린케미칼주식회사,그린케미칼주식회사,남준모
ME25-431,2025-07-09 16:20,전대수,Heat Exchanger Packages,국내,정엔지니어링(주),(No_Tax)(주)엘지화학 (화치동),권일태
ME25-430,2025-07-09 16:02,오영근,Steam Traps,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,남준모
ME25-429,2025-07-08 12:39,황태현,Pressure Controls,국내,한화오션 (주),한화에어로스페이스,남준모
ME25-428,2025-07-08 12:39,황태현,Pressure Controls,국내,한화오션 (주),한화에어로스페이스,남준모
ME25-427,2025-07-08 9:44,조현지,Ancilaries,국내,한화오션 (주),한화오션 (주),박병호
ME25-426,2025-07-07 16:56,김원근,Ancilaries,수출,한국조선해양,현대중공업(주)-선박,나호준
ME25-425,2025-07-07 13:44,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,(No_Tax)삼성전자(주) 기흥사업장,노예경
ME25-424,2025-07-07 13:44,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,(No_Tax)삼성전자(주) 기흥사업장,노예경
ME25-423,2025-07-07 11:21,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-422,2025-07-07 8:51,방병석,Ancilaries,국내,(주)케이씨씨대죽２공장,(주)케이씨씨대죽２공장,남준모
ME25-421,2025-07-04 17:08,조영천,Heat Exchanger Packages,국내,(주)다온MEC,송도해수피아,김영민
ME25-420,2025-07-03 17:51,이준재,Other STAP,국내,장엔지니어링,한국항공우주산업(주),김영민
ME25-419,2025-07-02 18:26,이후원,Steam Traps,국내,GS 칼텍스 윤활유공장,GS 칼텍스 윤활유공장,남준모
ME25-418,2025-07-02 10:48,정연택,Sundry Products,수출,삼일씨티에스(주),앰코테크놀로지베트남,박병호
ME25-417,2025-07-01 17:29,오영근,Steam Traps,국내,한화솔루션(주)여수,한화솔루션(주)여수,남준모
ME25-416,2025-07-01 14:12,방병석,Other STAP,국내,(주)케이씨씨대죽２공장,(주)케이씨씨대죽２공장,김영민
ME25-415,2025-07-01 10:44,김규현,SI Humidifiers,국내,주식회사 로뎀이엔지,삼일제약(주),노예경
ME25-414,2025-07-01 10:52,김원근,Ancilaries,수출,현대중공업(주)-선박,현대중공업(주)-선박,박병호
ME25-411,2025-06-30 15:03,조현지,Steam Traps,수출,지수이엔티(주),지수이엔티(주),노예경
ME25-410,2025-06-30 13:41,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME25-409,2025-06-30 13:12,권순범,Steam Traps,국내,(주)에코비트 에너지 울산,(주)에코비트 에너지 울산,남준모
